Team,Season,Wins,Losses,WinPct,PointsPerGame,OpponentPointsPerGame,PointDifferential,OffensiveRating,DefensiveRating,NetRating,Pace,ThreePointPct,FreeThrowPct,ReboundsPerGame,AssistsPerGame,StealsPerGame,BlocksPerGame,TurnoversPerGame,MadePlayoffs
Houston Rockets,2023-24,41,41,0.500,110.6,110.2,0.4,112.1,111.7,0.4,98.2,0.345,0.765,46.2,24.8,8.5,5.2,14.8,0
San Antonio Spurs,2023-24,22,60,0.268,108.1,118.2,-10.1,109.8,120.0,-10.2,97.8,0.338,0.742,44.8,25.5,7.8,5.8,15.1,0
Utah Jazz,2023-24,31,51,0.378,113.8,117.1,-3.3,113.2,116.5,-3.3,100.8,0.378,0.785,44.1,28.2,8.2,4.2,13.2,0
Memphis Grizzlies,2023-24,27,55,0.329,105.8,112.4,-6.6,107.5,114.1,-6.6,97.6,0.332,0.752,43.5,24.5,8.8,4.8,14.5,0
Portland Trail Blazers,2023-24,21,61,0.256,107.2,115.8,-8.6,108.8,117.4,-8.6,98.1,0.348,0.758,42.2,23.8,6.8,4.2,14.1,0
Charlotte Hornets,2023-24,21,61,0.256,106.5,114.2,-7.7,108.2,116.0,-7.8,97.5,0.342,0.768,42.8,25.4,7.1,4.5,15.2,0
Detroit Pistons,2023-24,14,68,0.171,104.2,116.8,-12.6,106.5,119.2,-12.7,96.8,0.335,0.745,41.5,23.1,6.5,4.1,14.8,0
Washington Wizards,2023-24,15,67,0.183,108.8,120.2,-11.4,109.2,120.6,-11.4,99.8,0.348,0.762,42.4,26.2,7.5,3.8,15.5,0
Boston Celtics,2022-23,57,25,0.695,117.9,108.3,9.6,118.5,108.9,9.6,99.2,0.378,0.815,44.8,25.8,6.8,5.5,12.8,1
Milwaukee Bucks,2022-23,58,24,0.707,116.9,110.8,6.1,117.2,111.1,6.1,100.2,0.368,0.798,48.2,25.2,6.4,4.8,13.5,1
Denver Nuggets,2022-23,53,29,0.646,116.8,111.4,5.4,117.5,112.1,5.4,99.4,0.375,0.788,43.5,29.8,7.1,4.5,13.2,1
Cleveland Cavaliers,2022-23,51,31,0.622,110.8,105.2,5.6,111.8,106.2,5.6,98.6,0.358,0.782,44.1,27.2,6.5,4.8,13.1,1
Phoenix Suns,2022-23,45,37,0.549,113.8,112.2,1.6,114.2,112.6,1.6,99.8,0.365,0.818,42.5,27.4,7.8,4.2,12.8,1
Philadelphia 76ers,2022-23,54,28,0.659,114.5,109.8,4.7,115.1,110.4,4.7,99.2,0.372,0.808,42.8,24.5,7.5,4.5,12.5,1
Memphis Grizzlies,2022-23,51,31,0.622,116.4,111.5,4.9,116.8,111.9,4.9,99.8,0.348,0.762,47.8,28.1,9.2,5.8,14.5,1
Sacramento Kings,2022-23,48,34,0.585,120.1,115.8,4.3,119.2,114.9,4.3,101.5,0.378,0.788,43.2,28.8,8.1,4.5,13.8,1
New York Knicks,2022-23,47,35,0.573,111.2,107.5,3.7,112.1,108.4,3.7,98.8,0.352,0.768,46.2,24.2,7.2,5.2,12.4,1
Golden State Warriors,2022-23,44,38,0.537,118.2,116.5,1.7,117.5,115.8,1.7,101.2,0.398,0.792,44.5,29.8,8.2,4.8,14.5,1
LA Clippers,2022-23,44,38,0.537,113.2,110.8,2.4,113.8,111.4,2.4,99.4,0.375,0.802,42.1,24.8,7.4,4.2,12.8,1
Miami Heat,2022-23,44,38,0.537,109.5,108.1,1.4,110.2,108.8,1.4,98.8,0.348,0.785,41.5,24.5,8.1,4.5,13.2,1
Los Angeles Lakers,2022-23,43,39,0.524,117.2,115.4,1.8,116.8,115.0,1.8,100.8,0.358,0.778,45.8,26.1,7.2,5.1,14.2,1
Brooklyn Nets,2022-23,45,37,0.549,113.8,112.2,1.6,114.2,112.6,1.6,99.8,0.382,0.798,42.8,26.5,6.8,4.5,13.5,1
Atlanta Hawks,2022-23,41,41,0.500,118.5,117.2,1.3,118.0,116.7,1.3,101.2,0.365,0.808,43.2,26.8,7.5,4.2,13.8,1
Minnesota Timberwolves,2022-23,42,40,0.512,114.1,113.8,0.3,114.5,114.2,0.3,99.5,0.358,0.785,43.8,25.5,7.8,5.5,12.8,1
New Orleans Pelicans,2022-23,42,40,0.512,114.2,113.5,0.7,114.8,114.1,0.7,99.2,0.352,0.768,45.1,25.8,8.5,5.2,13.5,0
Oklahoma City Thunder,2022-23,40,42,0.488,117.8,118.5,-0.7,117.2,117.9,-0.7,100.8,0.368,0.778,42.5,26.2,9.1,5.1,14.2,0
Dallas Mavericks,2022-23,38,44,0.463,114.8,114.2,0.6,115.2,114.6,0.6,99.6,0.365,0.788,41.8,24.1,6.8,4.2,12.5,0
Toronto Raptors,2022-23,41,41,0.500,112.1,112.8,-0.7,112.8,113.5,-0.7,98.8,0.345,0.762,42.5,24.8,8.5,4.5,14.1,0
Utah Jazz,2022-23,37,45,0.451,116.8,117.5,-0.7,116.2,116.9,-0.7,100.8,0.385,0.792,45.2,28.5,8.8,4.8,13.8,0
Chicago Bulls,2022-23,40,42,0.488,113.1,113.8,-0.7,113.5,114.2,-0.7,99.4,0.348,0.788,42.8,25.1,8.2,4.5,12.8,0
Orlando Magic,2022-23,34,48,0.415,110.2,112.5,-2.3,111.2,113.5,-2.3,98.4,0.338,0.752,44.5,24.2,7.5,5.5,14.2,0
Washington Wizards,2022-23,35,47,0.427,114.5,117.2,-2.7,114.1,116.8,-2.7,100.5,0.355,0.768,42.2,26.5,7.8,4.1,14.8,0
Indiana Pacers,2022-23,35,47,0.427,117.2,119.5,-2.3,116.5,118.8,-2.3,101.2,0.375,0.785,41.8,27.2,6.8,4.8,13.5,0
Portland Trail Blazers,2022-23,33,49,0.402,112.5,117.1,-4.6,112.8,117.4,-4.6,99.5,0.358,0.768,42.5,23.5,6.5,4.2,13.8,0
Charlotte Hornets,2022-23,27,55,0.329,109.8,116.2,-6.4,110.5,116.9,-6.4,98.8,0.345,0.758,42.1,25.8,7.2,4.5,14.5,0
San Antonio Spurs,2022-23,22,60,0.268,112.8,121.5,-8.7,113.1,121.8,-8.7,99.5,0.352,0.748,43.8,27.5,7.5,5.2,15.8,0
Detroit Pistons,2022-23,17,65,0.207,109.5,118.8,-9.3,110.8,120.1,-9.3,98.2,0.335,0.742,42.8,24.1,7.1,4.2,14.8,0
Houston Rockets,2022-23,22,60,0.268,108.2,117.5,-9.3,109.8,119.1,-9.3,97.8,0.328,0.738,43.5,23.8,7.8,4.8,15.5,0
Boston Celtics,2021-22,51,31,0.622,112.0,104.5,7.5,113.8,106.2,7.6,97.2,0.354,0.792,45.1,25.2,7.1,5.8,13.2,1
Phoenix Suns,2021-22,64,18,0.780,114.8,107.2,7.6,115.4,107.8,7.6,99.2,0.362,0.788,43.2,27.5,7.8,5.2,12.5,1
Miami Heat,2021-22,53,29,0.646,110.1,105.6,4.5,110.8,106.3,4.5,99.1,0.352,0.802,44.8,24.1,8.2,4.5,13.8,1
Milwaukee Bucks,2021-22,51,31,0.622,115.5,111.2,4.3,116.1,111.8,4.3,99.2,0.358,0.782,46.5,25.8,6.5,4.8,13.5,1
Memphis Grizzlies,2021-22,56,26,0.683,115.6,109.8,5.8,116.2,110.4,5.8,99.4,0.348,0.762,48.1,27.8,9.5,5.5,13.2,1
Golden State Warriors,2021-22,53,29,0.646,111.1,105.5,5.6,112.5,106.9,5.6,98.2,0.385,0.798,45.2,28.4,8.5,5.1,14.1,1
Philadelphia 76ers,2021-22,51,31,0.622,109.9,106.5,3.4,110.8,107.4,3.4,98.8,0.352,0.812,42.5,24.8,7.5,4.8,12.8,1
Dallas Mavericks,2021-22,52,30,0.634,108.9,104.8,4.1,110.1,106.0,4.1,98.4,0.355,0.778,43.8,23.5,6.8,4.2,12.1,1
Utah Jazz,2021-22,49,33,0.598,113.5,108.2,5.3,114.2,108.9,5.3,99.2,0.382,0.792,45.5,24.2,7.2,4.5,13.5,1
Denver Nuggets,2021-22,48,34,0.585,113.8,109.5,4.3,114.5,110.2,4.3,99.1,0.365,0.775,44.1,28.5,6.8,4.2,13.2,1
Minnesota Timberwolves,2021-22,46,36,0.561,115.5,113.8,1.7,115.8,114.1,1.7,99.8,0.358,0.778,44.2,24.8,7.5,5.2,12.8,1
Toronto Raptors,2021-22,48,34,0.585,109.4,106.8,2.6,110.2,107.6,2.6,98.8,0.345,0.768,43.5,23.8,8.8,4.8,13.5,1
New Orleans Pelicans,2021-22,36,46,0.439,111.2,110.8,0.4,112.1,111.7,0.4,98.8,0.335,0.752,46.2,25.1,8.1,5.5,14.2,1
Cleveland Cavaliers,2021-22,44,38,0.537,107.5,104.2,3.3,108.8,105.5,3.3,98.2,0.348,0.782,43.8,25.5,6.5,5.1,13.8,1
Atlanta Hawks,2021-22,43,39,0.524,113.9,112.5,1.4,114.2,112.8,1.4,99.8,0.355,0.792,43.2,25.8,7.2,4.2,13.5,1
Brooklyn Nets,2021-22,44,38,0.537,112.9,111.5,1.4,113.5,112.1,1.4,99.2,0.368,0.798,42.8,26.5,6.8,5.2,13.8,1
Chicago Bulls,2021-22,46,36,0.561,111.6,109.8,1.8,112.4,110.6,1.8,98.8,0.352,0.775,43.5,25.2,8.5,4.5,13.2,1
San Antonio Spurs,2021-22,34,48,0.415,111.8,113.5,-1.7,112.5,114.2,-1.7,99.1,0.345,0.768,43.2,26.8,7.8,4.8,13.8,0
LA Clippers,2021-22,42,40,0.512,109.2,107.8,1.4,110.1,108.7,1.4,98.5,0.365,0.802,42.1,23.2,6.8,4.5,13.1,0
Los Angeles Lakers,2021-22,33,49,0.402,112.1,115.2,-3.1,112.8,115.9,-3.1,98.8,0.348,0.762,44.5,23.8,7.1,4.8,14.5,0
New York Knicks,2021-22,37,45,0.451,106.5,108.2,-1.7,107.8,109.5,-1.7,97.8,0.338,0.758,43.8,22.5,6.5,4.2,12.8,0
Charlotte Hornets,2021-22,43,39,0.524,115.2,116.5,-1.3,115.5,116.8,-1.3,99.8,0.375,0.785,42.5,27.5,7.5,4.1,14.8,0
Washington Wizards,2021-22,35,47,0.427,109.8,113.2,-3.4,110.5,113.9,-3.4,98.8,0.342,0.768,43.2,25.2,7.8,4.5,14.2,0
Orlando Magic,2021-22,22,60,0.268,105.5,112.8,-7.3,107.2,114.5,-7.3,97.5,0.328,0.742,42.1,23.5,7.2,5.1,14.8,0
Detroit Pistons,2021-22,23,59,0.280,104.8,113.5,-8.7,106.8,115.5,-8.7,96.8,0.318,0.735,42.8,23.2,7.5,4.2,15.2,0
Indiana Pacers,2021-22,25,57,0.305,112.5,116.8,-4.3,113.2,117.5,-4.3,98.8,0.358,0.768,42.1,25.8,6.8,4.5,14.5,0
Portland Trail Blazers,2021-22,27,55,0.329,106.8,113.1,-6.3,108.5,114.8,-6.3,97.5,0.332,0.752,42.5,22.8,6.2,3.8,13.5,0
Sacramento Kings,2021-22,30,52,0.366,109.2,113.5,-4.3,110.5,114.8,-4.3,98.2,0.352,0.762,42.8,24.5,7.1,3.8,14.2,0
Oklahoma City Thunder,2021-22,24,58,0.293,103.8,110.5,-6.7,105.8,112.5,-6.7,97.2,0.328,0.745,43.5,23.1,8.2,4.8,15.8,0
Houston Rockets,2021-22,20,62,0.244,104.2,114.8,-10.6,106.2,116.8,-10.6,97.5,0.322,0.738,43.2,22.5,7.8,4.5,16.2,0
